,FECHA_DOC,CANT,CVE_ART
10,2022-01-05,1,TUE00207
11,2022-01-05,1,TUE00207
12,2022-01-05,1,TUE00207
13,2022-01-05,1,BO00051
14,2022-01-05,1,BC00023
15,2022-01-05,5,PT00070
16,2022-01-05,2,TP0011
17,2022-01-05,3,PJ31C1F1AA00
18,2022-01-05,5,WRE-2133
19,2022-01-05,7,WRE-2774
